order_id,customer_id,product_id,quantity,amount,payment_status,shipping_status,delivery_date
ORD0001,CUST0364,PROD256,3,4580.76,Failed,Delivered,2026-04-14
ORD0002,CUST0452,PROD360,5,5323.3,Failed,Processing,2026-04-30
ORD0003,CUST0731,PROD081,4,6200.04,Pending,Shipped,2026-04-10
ORD0004,CUST0522,PROD045,1,449.73,Failed,Cancelled,2026-04-14
ORD0005,CUST0919,PROD463,4,5290.08,Pending,Processing,2026-04-13
ORD0006,CUST0039,PROD337,3,2614.02,Pending,Delivered,2026-04-10
ORD0007,CUST0259,PROD465,4,4411.6,Paid,Delivered,2026-04-10
ORD0008,CUST0907,PROD376,1,76.21,Failed,Processing,2026-04-21
ORD0009,CUST0708,PROD035,5,4371.95,Paid,Shipped,2026-04-26
ORD0010,CUST0313,PROD417,3,5478.54,Failed,Delivered,2026-04-22
ORD0011,CUST0054,PROD062,3,4614.72,Failed,Processing,2026-04-25
ORD0012,CUST0652,PROD355,3,3985.29,Failed,Shipped,2026-04-11
ORD0013,CUST0072,PROD221,2,3028.88,Failed,Processing,2026-04-10
ORD0014,CUST0238,PROD336,4,1721.56,Pending,Shipped,2026-04-18
ORD0015,CUST0144,PROD032,2,2219.4,Paid,Delivered,2026-04-23
ORD0016,CUST0526,PROD006,3,2922.03,Failed,Processing,2026-04-22
ORD0017,CUST0030,PROD150,1,316.62,Pending,Shipped,2026-04-28
ORD0018,CUST0876,PROD233,3,2375.31,Paid,Processing,2026-04-27
ORD0019,CUST0337,PROD230,4,5279.04,Failed,Processing,2026-04-14
ORD0020,CUST0048,PROD185,3,2216.04,Pending,Cancelled,2026-04-11
ORD0021,CUST0167,PROD105,1,1733.74,Paid,Cancelled,2026-04-10
ORD0022,CUST0023,PROD235,4,7836.08,Paid,Delivered,2026-04-12
ORD0023,CUST0859,PROD306,1,1084.74,Paid,Shipped,2026-04-16
ORD0024,CUST0063,PROD052,3,877.26,Pending,Processing,2026-04-29
ORD0025,CUST0823,PROD371,2,1330.42,Pending,Shipped,2026-04-18
ORD0026,CUST0877,PROD219,4,5281.4,Pending,Delivered,2026-04-27
ORD0027,CUST0018,PROD189,3,1566.24,Pending,Cancelled,2026-04-11
ORD0028,CUST0567,PROD137,4,4832.52,Pending,Processing,2026-04-29
ORD0029,CUST0134,PROD142,5,742.4,Paid,Cancelled,2026-04-29
ORD0030,CUST0885,PROD437,3,1130.91,Pending,Processing,2026-04-21
ORD0031,CUST0699,PROD065,4,6972.96,Paid,Shipped,2026-04-30
ORD0032,CUST0786,PROD039,3,951.78,Pending,Delivered,2026-04-25
ORD0033,CUST0447,PROD045,1,449.73,Paid,Delivered,2026-04-24
ORD0034,CUST0930,PROD276,1,1332.2,Pending,Shipped,2026-04-12
ORD0035,CUST0771,PROD372,4,2585.36,Pending,Processing,2026-04-11
ORD0036,CUST0228,PROD134,2,591.98,Failed,Delivered,2026-04-17
ORD0037,CUST0158,PROD101,5,7326.05,Pending,Delivered,2026-04-25
ORD0038,CUST0454,PROD401,1,1522.56,Failed,Processing,2026-04-28
ORD0039,CUST0258,PROD285,2,3486.02,Paid,Shipped,2026-04-21
ORD0040,CUST0140,PROD323,4,1882.68,Pending,Processing,2026-04-14
ORD0041,CUST0252,PROD195,2,3488.1,Pending,Delivered,2026-04-14
ORD0042,CUST0407,PROD278,5,2644.4,Failed,Shipped,2026-04-17
ORD0043,CUST0032,PROD130,3,3069.51,Paid,Delivered,2026-04-26
ORD0044,CUST0537,PROD043,2,518.38,Paid,Processing,2026-04-27
ORD0045,CUST0971,PROD414,5,4146.5,Paid,Cancelled,2026-04-13
ORD0046,CUST0475,PROD243,4,4492.32,Pending,Cancelled,2026-04-29
ORD0047,CUST0073,PROD366,2,1801.5,Failed,Processing,2026-04-11
ORD0048,CUST0139,PROD421,4,4168.12,Paid,Processing,2026-04-29
ORD0049,CUST0440,PROD386,5,5188.4,Failed,Processing,2026-04-20
ORD0050,CUST0399,PROD450,2,299.34,Pending,Processing,2026-04-11
ORD0051,CUST0999,PROD324,3,2615.25,Pending,Shipped,2026-04-16
ORD0052,CUST0260,PROD324,2,1743.5,Pending,Cancelled,2026-04-13
ORD0053,CUST0634,PROD297,3,634.47,Failed,Shipped,2026-04-17
ORD0054,CUST0579,PROD397,5,7999.3,Failed,Processing,2026-04-19
ORD0055,CUST0549,PROD164,2,1233.34,Pending,Cancelled,2026-04-28
ORD0056,CUST0281,PROD451,4,2705.36,Paid,Processing,2026-04-30
ORD0057,CUST0640,PROD166,5,8778.7,Failed,Processing,2026-04-20
ORD0058,CUST0981,PROD083,2,3981.54,Failed,Processing,2026-04-22
ORD0059,CUST0130,PROD234,1,806.67,Pending,Shipped,2026-04-27
ORD0060,CUST0235,PROD176,4,5800.28,Pending,Processing,2026-04-16
ORD0061,CUST0365,PROD326,5,3330.05,Pending,Shipped,2026-04-23
ORD0062,CUST0921,PROD249,3,4060.41,Pending,Shipped,2026-04-28
ORD0063,CUST0088,PROD072,3,5625.57,Paid,Delivered,2026-04-26
ORD0064,CUST0856,PROD433,4,1515.88,Pending,Processing,2026-04-20
ORD0065,CUST0741,PROD235,4,7836.08,Paid,Delivered,2026-04-29
ORD0066,CUST0343,PROD393,2,704.72,Paid,Shipped,2026-04-29
